date,zhvi
2021-04-30,221575.01499269044
2021-05-31,227339.28603941505
2021-06-30,234261.7174515537
2021-07-31,240743.06800975712
2021-08-31,244370.32389964059
2021-09-30,245078.41316899823
2021-10-31,244692.72245714537
2021-11-30,245870.4682117855
2021-12-31,247850.95572063848
2022-01-31,251420.26677569092
2022-02-28,256322.96245503318
2022-03-31,263344.6001952263
2022-04-30,270975.47912950185
2022-05-31,277986.31239456026
2022-06-30,282775.3901741525
2022-07-31,284034.71787115186
2022-08-31,281898.7882493522
2022-09-30,278315.4678419553
2022-10-31,275380.21499877033
2022-11-30,273355.7922212948
2022-12-31,272419.8066334597
2023-01-31,272539.293792442
2023-02-28,273359.01216813456
2023-03-31,274760.5540031097
2023-04-30,276689.5636561671
2023-05-31,279023.3053041818
2023-06-30,282184.0177440027
2023-07-31,284960.2615078992
2023-08-31,287575.3040431352
2023-09-30,289427.97680316545
2023-10-31,291201.874557531
2023-11-30,292805.7666549001
2023-12-31,293989.3058744116
2024-01-31,295040.5162051564
2024-02-29,296896.06840702915
2024-03-31,299636.5068726446
2024-04-30,302675.77428193536
2024-05-31,304670.5559639821
2024-06-30,305285.3683117088
2024-07-31,304957.06292801857
2024-08-31,305342.4464357316
2024-09-30,306370.8960903205
2024-10-31,307968.8787082623
2024-11-30,308563.2900530499
2024-12-31,309122.62181844475
2025-01-31,309429.0749763585
2025-02-28,309937.36919058906
2025-03-31,309848.05725939554
2025-04-30,309590.69283863617
2025-05-31,309498.2102239451
2025-06-30,308860.2216055532
2025-07-31,307458.3345839563
2025-08-31,305856.0682411511
2025-09-30,305104.91849499213
2025-10-31,305145.6007188111
2025-11-30,305369.64526031667
2025-12-31,305884.04298530734
2026-01-31,306940.52100357454
2026-02-28,308373.1254866552
